INDICATOR,SCORE,DATE,COUNTY,FOLLOW_UP
county hook,2.5,12/12/2021,Nairobi,3rd
coordination,2.5,12/12/2021,Nairobi,3rd
stakeholder mapping,2.5,12/12/2021,Nairobi,3rd
Internal Co-ordination (MSH),2.5,12/12/2021,Nairobi,3rd
Physical Space ,2.5,12/12/2021,Nairobi,3rd
ICT Infrastructure,2.5,12/12/2021,Nairobi,3rd
Daily Operations,2.5,12/12/2021,Nairobi,3rd
SOPs,2.5,12/12/2021,Nairobi,3rd
Human Resources,2.5,12/12/2021,Nairobi,3rd
Training & Exercises,2.5,12/12/2021,Nairobi,3rd
One Health,2.5,12/12/2021,Nairobi,3rd
Surveillance,2.5,12/12/2021,Nairobi,3rd
Data Visualization & use,2.5,12/12/2021,Nairobi,3rd
Reporting and external communication,2.5,12/12/2021,Nairobi,3rd
Emergency Preparedness,2.5,12/12/2021,Nairobi,3rd
county hook,2.2,12/12/2021,Kiambu,3rd
coordination,2.2,12/12/2021,Kiambu,3rd
stakeholder mapping,2.2,12/12/2021,Kiambu,3rd
Internal Co-ordination (MSH),2.2,12/12/2021,Kiambu,3rd
Physical Space ,2.2,12/12/2021,Kiambu,3rd
ICT Infrastructure,2.2,12/12/2021,Kiambu,3rd
Daily Operations,2.2,12/12/2021,Kiambu,3rd
SOPs,2.2,12/12/2021,Kiambu,3rd
Human Resources,2.2,12/12/2021,Kiambu,3rd
Training & Exercises,2.2,12/12/2021,Kiambu,3rd
One Health,2.2,12/12/2021,Kiambu,3rd
Surveillance,2.2,12/12/2021,Kiambu,3rd
Data Visualization & use,2.2,12/12/2021,Kiambu,3rd
Reporting and external communication,2.2,12/12/2021,Kiambu,3rd
Emergency Preparedness,2.2,12/12/2021,Kiambu,3rd
county hook,2,12/12/2021,Migori,3rd
coordination,2,12/12/2021,Migori,3rd
stakeholder mapping,2,12/12/2021,Migori,3rd
Internal Co-ordination (MSH),2,12/12/2021,Migori,3rd
Physical Space ,2,12/12/2021,Migori,3rd
ICT Infrastructure,2,12/12/2021,Migori,3rd
Daily Operations,2,12/12/2021,Migori,3rd
SOPs,2,12/12/2021,Migori,3rd
Human Resources,2,12/12/2021,Migori,3rd
Training & Exercises,2,12/12/2021,Migori,3rd
One Health,2,12/12/2021,Migori,3rd
Surveillance,2,12/12/2021,Migori,3rd
Data Visualization & use,2,12/12/2021,Migori,3rd
Reporting and external communication,2,12/12/2021,Migori,3rd
Emergency Preparedness,2,12/12/2021,Migori,3rd
county hook,1.6,12/12/2021,Mombasa,3rd
coordination,1.6,12/12/2021,Mombasa,3rd
stakeholder mapping,1.6,12/12/2021,Mombasa,3rd
Internal Co-ordination (MSH),1.6,12/12/2021,Mombasa,3rd
Physical Space ,1.6,12/12/2021,Mombasa,3rd
ICT Infrastructure,1.6,12/12/2021,Mombasa,3rd
Daily Operations,1.6,12/12/2021,Mombasa,3rd
SOPs,1.6,12/12/2021,Mombasa,3rd
Human Resources,1.6,12/12/2021,Mombasa,3rd
Training & Exercises,1.6,12/12/2021,Mombasa,3rd
One Health,1.6,12/12/2021,Mombasa,3rd
Surveillance,1.6,12/12/2021,Mombasa,3rd
Data Visualization & use,1.6,12/12/2021,Mombasa,3rd
Reporting and external communication,1.6,12/12/2021,Mombasa,3rd
Emergency Preparedness,1.6,12/12/2021,Mombasa,3rd
county hook,1.5,12/12/2021,Marsabit,3rd
coordination,1.5,12/12/2021,Marsabit,3rd
stakeholder mapping,1.5,12/12/2021,Marsabit,3rd
Internal Co-ordination (MSH),1.5,12/12/2021,Marsabit,3rd
Physical Space ,1.5,12/12/2021,Marsabit,3rd
ICT Infrastructure,1.5,12/12/2021,Marsabit,3rd
Daily Operations,1.5,12/12/2021,Marsabit,3rd
SOPs,1.5,12/12/2021,Marsabit,3rd
Human Resources,1.5,12/12/2021,Marsabit,3rd
Training & Exercises,1.5,12/12/2021,Marsabit,3rd
One Health,1.5,12/12/2021,Marsabit,3rd
Surveillance,1.5,12/12/2021,Marsabit,3rd
Data Visualization & use,1.5,12/12/2021,Marsabit,3rd
Reporting and external communication,1.5,12/12/2021,Marsabit,3rd
Emergency Preparedness,1.5,12/12/2021,Marsabit,3rd
county hook,1.7,12/12/2021,Kisumu,3rd
coordination,1.7,12/12/2021,Kisumu,3rd
stakeholder mapping,1.7,12/12/2021,Kisumu,3rd
Internal Co-ordination (MSH),1.7,12/12/2021,Kisumu,3rd
